TIME	COR_X	COR_Y	VEL_X	VEL_Y	ACC_X	ACC_Y
78	15133.0553	8577.9342	182.3591	-168.6845	-0.3338	-9.5568
79	15315.2481	8404.4869	182.0265	-178.21	-0.3325	-9.5255
80	15497.1089	8221.5307	181.6952	-187.7024	-0.3313	-9.4924
81	15678.639	8029.0995	181.365	-197.1601	-0.3301	-9.4577
82	15859.8396	7827.2288	181.0361	-206.5813	-0.3289	-9.4213
83	16040.7118	7615.9558	180.7084	-215.9646	-0.3277	-9.3832
84	16221.2569	7395.3195	180.3818	-225.3082	-0.3266	-9.3436
85	16401.476	7165.3601	180.0564	-234.6105	-0.3254	-9.3024
86	16581.3704	6926.1198	179.7322	-243.8701	-0.3242	-9.2596
87	16760.9411	6677.642	179.4092	-253.0854	-0.323	-9.2153
88	16940.1893	6419.9719	179.0873	-262.2549	-0.3219	-9.1695
89	17119.1163	6153.1559	178.7666	-271.3771	-0.3207	-9.1222
90	17297.7231	5877.242	178.447	-280.4506	-0.3196	-9.0735
91	17476.0109	5592.2797	178.1286	-289.4741	-0.3184	-9.0235
92	17653.9808	5298.3195	177.8113	-298.4462	-0.3173	-8.972
93	17831.634	4995.4137	177.4951	-307.3655	-0.3162	-8.9193
94	18008.9716	4683.6156	177.1801	-316.2307	-0.315	-8.8653
95	18185.9947	4362.9799	176.8661	-325.0407	-0.3139	-8.81
96	18362.7045	4033.5625	176.5533	-333.7942	-0.3128	-8.7535
97	18539.1019	3695.4204	176.2416	-342.49	-0.3117	-8.6958
98	18715.1883	3348.6119	175.931	-351.127	-0.3106	-8.637
99	18890.9645	2993.1963	175.6215	-359.7041	-0.3095	-8.5771
100	19066.4318	2629.2341	175.3131	-368.2202	-0.3084	-8.5161
101	19241.5912	2256.7868	175.0057	-376.6744	-0.3073	-8.4541
102	19416.4438	1875.9169	174.6994	-385.0655	-0.3063	-8.3912
103	19590.9906	1486.6877	174.3942	-393.3928	-0.3052	-8.3272
104	19765.2328	1089.1637	174.0901	-401.6552	-0.3041	-8.2624
105	19939.1714	683.4101	173.787	-409.8519	-0.3031	-8.1967
106	20112.8074	269.4931	173.485	-417.9822	-0.302	-8.1302
107	20286.1419	-152.5205	173.184	-426.0451	-0.301	-8.0629
